No,Template Name,Category,Keywords,Layout Spec,Typography,Color Palette,Best For,ReportLab Notes,Source Image
35,Pop Art Chapter Divider Ebook,Ebook/Workbook,"pop art ebook, comic chapter dividers, bold color blocks, illustrated portraits, youth brand","4x4 grid of portrait pages: cover with half-page illustration block, numbered TOC, full-bleed illustrated chapter-divider pages alternating with quote pages and text+image pages","Chunky bold condensed comic-style display headlines, oversized rotated chapter numerals, clean narrow-column sans body","Coral orange #F4623A, hot pink #E8398A, sunshine yellow #F5C518, turquoise #29C5C5, black #111111","creative/youth-brand ebooks, pop-culture lookbooks, illustrated guides",Full-bleed Image flowables preceded by canvas.rect color-block background; rotated chapter numeral via canvas.saveState/rotate + drawString; single-column body Paragraph with 14-16pt leading; alternate colored ParagraphStyles per chapter for variety.,1fbba291a9ffc771903c05c7620acf24.jpg
36,Cinema Feature Magazine Grid,Magazine,"film magazine layout, modular grid overlay, duotone story spreads, ficha técnica, timeline captions","Landscape magazine spreads paired with an underlying 12-column modular grid; each story intro uses one dominant duotone color block (full-bleed photo or solid) opposite a cream page with a pull quote or credits table, and later spreads show scene-timeline photo grids with bold minute-marker captions.","Bold condensed two-weight stacked display title per film, small caps kicker/section label, cream body sans/serif, large bold red minute-numerals for timeline captions.","#1B4FA0 cobalt blue, #F5EFD8 cream, #8A2BE2 magenta/purple accent, #E8442C tomato red, #000000 black text","Film/culture magazines, entertainment editorial features, portfolio grid-system references","Define a reusable 12-column grid by computing Frame x/width fractions in a BaseDocTemplate, then alternate PageTemplates per story (color-block-left/text-right vs photo-grid); ficha técnica as a borderless two-column Table; minute-marker captions as a Table row of Image+bold-red-numeral Paragraph pairs, photos pre-duotoned in PIL to each story's accent hue before embedding.",ba48b0a1c49b5738460f827fde9ad047.jpg
37,Minimal Red Fashion Lookbook,Magazine,"lookbook, fashion ebook, chapter divider, minimalist, editorial, black-and-white photography","Portrait spreads with generous white/gray margins, black-and-white portrait photography paired with oversized chapter numerals (ONE/TWO/THREE), thin red rule accents, and small red geometric shapes as section markers.","Bold condensed sans chapter numerals ~80pt, italic script accent word ('Chapter'), clean sans body 9-10pt, small red uppercase labels.","#E8232B signal red, #FFFFFF page white, #1A1A1A black-and-white photography, #F2F2F2 light gray field","fashion lookbooks, photography ebooks, minimalist creative portfolios","Two-column Frame spread per page with generous 1in+ margins; chapter numeral as a Paragraph with a custom ParagraphStyle (tight leading, Helvetica Neue Bold ~90pt); grayscale Image flowables with a red accent shape drawn via canvas.rect/drawPath; thin red HRFlowable under headings.",6d48e463fe66e79e09d78ac530a44b08.jpg
38,Peach Editorial Fashion Magazine,Magazine,"fashion magazine layout, editorial spreads, peach cream palette, hairline rule text columns, contributor page","Multi-column magazine grid (2-col text + image sidebar), ToC with page numbers and thumbnail row, feature spreads with bleed photos and hairline-ruled justified columns, small-caps section eyebrow.","Elegant serif headlines, hairline-ruled justified body columns, small caps eyebrow labels, italic script byline/signature.","Cream #F7F1EA, Peach #E8B896, Black #1A1A1A, White #FFFFFF","Fashion/lifestyle digital magazines, editorial lookbooks",2-3 Frame multi-column layout per page; HRFlowable hairlines between paragraphs; Table-based ToC with dot leaders; sidebar color Frame for image captions.,a541ca02e3be21b431822f0336f5725b.jpg
39,3D Glow Icon Feature Card,One-Pager,"cybersecurity ad, 3D glossy icon, glassmorphism card, dark blue social square, feature callout","Square 1:1: centered glossy 3D icon on radial glow top half, bottom rounded glass-panel with label pill, headline, wavy divider, body copy.","Bold sans headline 28-32pt, small all-caps pill label, light regular body copy.","Deep Navy #0A1128, Electric Blue #1FA8FF, Cyan #4FD8FF, White #FFFFFF","Security/SaaS feature one-pagers, sell-sheet callout cards",Radial-gradient background pre-rendered in PIL and placed as Image; rounded glass panel = semi-transparent white rect (fill alpha ~0.15) with stroke; pill Table cell for label; wavy divider via bezier Path.,38da93412fc04c34ede5a896ba651741.jpg
40,Bordered Webinar Promo One-Pager,One-Pager,"webinar landing page, keyline border, script tagline, laptop mockup, course promo","Single landscape one-pager framed by a thin black keyline border: hand-lettered script tagline over bold condensed caps 3-line headline, centered laptop mockup with screen content, cropped phone-in-hand photo bottom-right","Casual script accent line, ultra-bold tracked condensed display headline, small sans mockup-screen body copy","Off-white #F1EFEA, black #111111, neutral skin tones","webinar/course promo covers, info-product landing one-pagers",canvas.rect stroke for full-page keyline border; mixed-font title block using two ParagraphStyles (registered script TTF + bold condensed caps TTF); device mockup as Image with rounded-rect frame drawn behind it via roundRect.,82aaf8a01eab4c9571b5bc39c3e5fef7.jpg
41,Clarify Case-Study Sheet,One-Pager,"case study, SaaS, healthcare analytics, stat callouts, binder mockup","Single A4/Letter page: left-aligned logo and eyebrow label, a large headline stat claim, two-column overview text with an inset profile/data card, and a three-column colored callout-card row across the bottom for highlights.","Clean geometric sans headline (28-34pt, medium weight, tight leading) in dark navy; 10pt sans body in gray; small bold caps labels such as 'CASE STUDY' and 'OVERVIEW'.","#7EC8E3 sky blue (accent card fill), #F5F6F7 light gray page ground, #1B2733 navy-black text, #FFFFFF white card","B2B SaaS case studies, sales-enablement one-pagers, customer success stories.","Single Platypus Frame; the three-column highlight row is a Table with equal-width cells and TableStyle BACKGROUND='#7EC8E3', the inset stat card is a nested Table with small colored pill Tables for percentage badges, and HRFlowable marks the thin rule under the logo lockup.",2566176982ed12f019d6f33d69582b49.jpg
42,Dark Chocolate Bakery Promo Poster,One-Pager,"bakery flyer, food promo poster, organic blob shapes, social media ad, Pinterest food graphic","Portrait full-bleed dark background with organic tan blob shapes top-left and bottom-right; circular-cropped hero product photo center-right; stacked mixed logotype top-left; footer bar with location pin, social icons, phone number",Mixed display type — bold condensed sans 'BAKERY' + playful script 'try me!'; small sans tagline; tiny uppercase footer contact,"Espresso brown #2B1B14 (bg), tan/caramel #C9976B (blobs/accent), cream #F1E4D8 (text)","Bakery/café promo flyer, Instagram/Pinterest food ad, single-page menu teaser",Organic blobs via canvas Path with curveTo bezier segments; circular photo mask via clipping path; footer icon bar as Table with icon+text cells; full-page dark bg rect,3b9f2be1dfb65512b2eee43fb0d57184.jpg
43,Dark Navy AI Product One-Pager,One-Pager,"SaaS AI ad, dark navy, glassy shield icon, outlined CTA button, demo request one-pager","Portrait: top logo bar + hashtag, left headline/body/outlined CTA button, right stacked glass-panel icon illustration with central shield badge, bottom contact bar with icons.","Light large two-line sans headline, small gray body sans, uppercase tracked outline-button label, bold bottom contact text.","Navy/Black #0B1524, Cyan #29D3E0, Gold accent #C89B3C, White #FFFFFF","AI/SaaS product landing one-pagers, sales collateral cover sheets",Dark background rect; outlined CTA via roundRect stroke-only; layered semi-transparent rects for glass-panel stack illustration; small icon grid Table; separate colored Frame for bottom contact bar.,7765d242a87e33254cef5911e3636b81.jpg
44,Diagonal Split Tech Service One-Pager,One-Pager,"SaaS flyer, diagonal split, dark navy panel, feature icon list, 3D hero illustration, CTA ribbon","Portrait page split by an angled/curved diagonal into a light-left, deep-navy-right zone; left holds a 3-line bold headline, subhead, and a stacked 3-item icon+label+description feature list; right holds a full-bleed 3D illustration; a full-width dark CTA band with logo/URL closes the bottom.",Heavy geometric sans (Montserrat/Poppins Black) headline mixing black and accent-blue color runs; bold small-caps sans (12-13pt) feature labels; regular sans (10pt) body copy; light tracked sans CTA line.,"#F2F1F5 light panel bg, #0B0F2E deep navy panel, #3B4CCA/#4E5BFF indigo-blue accent, #1B1F52 icon-badge fill, #F4F1EA off-white type","B2B service/product intro one-pagers, cold-outreach leave-behinds, landing-page-style cover sheets.","Single-page canvas: fill full-bleed background, draw the diagonal boundary as a filled Path (beginPath/lineTo or curveTo) in navy; place headline/body in a left Frame via Paragraph; render the 3-row feature list as a borderless 2-col Table (icon cell + text cell, fixed rowHeights); bottom CTA = full-width colored Rect with centered Paragraph, topped by a thin HRFlowable in the accent blue.",216d50172ed9e84ce740e0cc69cf2eb4.jpg
45,Duotone Green Case Study Sheet,One-Pager,"case study flyer, one-pager, duotone photo, stats donut, corporate fact sheet","US-letter portrait one-pager: masthead band with a duotone-green photo, logo and contact strip, followed by a 2x2 body grid (Overview/Key Points/Problem/Target) with small icons, continuing on a second sheet with Solution/Challenge/Results/Benefits and two small percentage-donut stats.","Bold green caps section headers, small sans body paragraphs, square green bullet markers, large centered percentage numerals inside the donut charts.","#3C7A3E brand green, #4A9950 lighter green accent, #F7F3EC cream paper, #2B2B28 dark text, #FFFFFF white","Sales case studies, client success one-pagers, service fact sheets",Two-column grid via a Platypus Table nesting Paragraph blocks per quadrant; masthead as a canvas green rect band with a PIL-duotoned photo Image overlaid; stat donuts via reportlab.graphics.charts.piecharts.Pie with wedge gaps and centered percentage text; 1pt green HRFlowable separating each section.,d90f8a3ddb6a4295d545dd74d6c301cb.jpg
46,Editorial Legal Case Study,One-Pager,"case study, legal services, minimalist editorial, cobalt blue accent, stat cards, two-column body","Single long page: thin top nav rule, large two-line headline, indented italic pull-quote intro, a small square photo beside a two-column justified body, and a bottom row of three bordered stat boxes.","Cobalt sans headline 32pt, italic indented intro 14pt, two-column body copy 8-9pt gray, bold cobalt stat numerals 24pt.","#EFEFEA off-white (background), #1E1EE0 cobalt blue (headline/accent/stats), #1A1A1A black (nav text), #4A4A4A gray (body text)","legal/consulting case studies, agency portfolio one-pagers, professional-services proof points","Single narrow-margin Platypus Frame; HRFlowable thin gray rule under nav header; two-column body built as a 2-cell Table each holding a Paragraph; bottom stat row as a 3-cell Table with TableStyle BOX borders and centered bold cobalt numerals; Helvetica Neue throughout, cobalt RGB(30,30,224) for accents.",68ab8c8755db29145a29d874eec9e8f7.jpg
47,Finderbridge Travel Collage One-Pager,One-Pager,"travel poster, cross-shaped photo collage, cutout portrait, bold display headline","Portrait one-pager; oversized display headline across the top; a cross/plus-shaped grid of 5-6 travel photos built around a central cutout portrait, with bird and rhino cutouts breaking outside the grid edges; a three-line mixed-color CTA block and thin-rule footer with URL sit in the bottom third.","Heavy condensed display sans headline (Anton/Bebas Neue style) ~60pt tracked caps, subhead line mixing red/black/green colored words, centered regular sans body ~12pt.","#EDE6D2 cream background, #1F5C3A deep green, #B23B22 brick red, #8A7B4E olive-gold headline, #1A1A1A body text","Travel/tourism product launch poster, single-page marketing collateral, lead-gen landing page PDF.",Pre-composite the collage and cutout portrait as a single transparent PNG (Pillow) and place with drawImage(mask='auto'); build the headline with drawCentredString in Helvetica-Bold at large point size; render the subhead as multiple drawString calls per colored word; add an HRFlowable divider above the footer URL Paragraph.,2b6d5dbc041794e644ad2ac3c442becd.jpg
48,Framed Collage Furniture Flyer,One-Pager,"furniture flyer, product poster, colored photo frames, branch contact boxes, social footer","Single vertical poster: full-width lifestyle photo top half, centered bold brand wordmark + tagline, 3-photo asymmetric collage with green/orange picture frames, left bullet service list, two-column branch/phone info boxes, footer social icon bar","Heavy condensed sans brand name, thin tracked subtitle, bold sans bullet list with colored dot markers, bold numerals for phone numbers","Charcoal sofa gray #4A4A4A, mustard gold #D9A441, forest green frame #2F4A3C, burnt orange frame #C1592B, cream #F4EFE8, black text #1A1A1A",furniture/retail single-page promotional flyers,Colored photo frames via canvas.rect border + inset Image; bullet list via ListFlowable with custom bulletColor; two-column contact box as Table with colored header cell (TableStyle BACKGROUND); footer icon row as inline Table with small icon Images + Paragraph.,574bc3791a51693ac61104acb46e7669.jpg
49,Glow Document Workflow One-Pager,One-Pager,"SaaS product ad, dark teal glow, e-signature illustration, workflow diagram, trust badges","Portrait ad: centered 3D glossy document illustration with dotted-line connector icons, top logo+URL bar, bottom CTA pill and corner trust badges.","Bold mixed-weight sans headline, italic script tagline, small caps badge text.","Deep Teal/Black #06181C, Teal Glow #1FD1C1, White #FFFFFF","SaaS/CRM product launch one-pagers, feature announcement sell-sheets",Dark background rect with radial-glow PNG underlay; dotted connector lines via canvas.setDash; rounded pill CTA button; badge circles in bottom corners via small Drawing objects.,68bb674178bbbc2d13982e7d7c1f05b7.jpg
50,Lavender Numbered Process List,One-Pager,"process list one-pager, checklist PDF, lavender flat color, numbered steps, content upgrade","Single flat-lavender background; large two-line bold sans headline top; numbered list items each underlined by a thin rule; footer URL left, circular arrow CTA button bottom-right",Bold grotesque headline ~40pt; medium sans numbered list items ~20pt; thin 0.5pt rules; small sans URL,"Lavender/lilac #D6C9F5, black #0D0D0D, white","Process/step list one-pager, content-upgrade PDF, checklist lead magnet",Numbered list via Table (number col + label col) with TableStyle LINEBELOW 0.5pt grey; circular arrow button via canvas.circle + Path arrow; full-page solid-color background rect,84d24d63eb8bfa56d57ac19da2a47ff2.jpg
51,Modern Home Real Estate Flyer,One-Pager,"real estate flyer, property listing PDF, home for sale, swoosh divider, CTA button","Top half full-bleed hero photo with a curved white swoosh divider and diagonal accent stripe; roof-icon logo + two-tone headline overlay top-left; bottom half gold-gradient with 3 circular photo thumbnails, checklist column, rounded CTA button + contact block, footer location bar",Heavy condensed two-tone headline; bold price line; checkbox-list body text; bold all-caps CTA button label,"Warm gold/amber #E8A33D to brown #5C3A1E gradient, charcoal photo overlay, white text","Real estate/property listing flyer, single-page property PDF",Curved swoosh via canvas bezier path fill; circular thumbnails via clip-path Images in a Table row; CTA button via canvas.roundRect with centered Paragraph; checklist via Table with checkbox-glyph column,890a1a487efba190057ef262be702fa4.jpg
52,Serif Stack Title Card,One-Pager,"blog title graphic, Pinterest pin, serif headline stack, lead magnet cover, editorial title","Full-bleed solid-color background; oversized serif headline stacked across 6 left-aligned lines filling ~70% of height; bold small-caps subhead, thin horizontal rule, byline near bottom margin","Large serif display (~60-70pt, tight leading); bold sans small-caps subhead ~14pt; sans byline ~16pt","Blush pink #EAD3C4 (bg), deep teal/forest #1D3B34 (text and rule)","Blog post cover, lead-magnet/ebook title page, Pinterest pin graphic",Single full-page Frame; Paragraph with custom ParagraphStyle for stacked headline (tight leading ~0.9x fontsize); HRFlowable 0.5pt divider; note serif look requires an actual serif TTF registered — Helvetica Neue alone won't match,246c9ccf39725f18a29ccbb63b9223e9.jpg
53,Sketch-Style Branding Map Diagram,One-Pager,"brand strategy diagram, mindmap, org chart, hand-drawn boxes, marketing flowchart","Single-page hand-drawn-style org chart: root 'Strategy' box branching to Identity/Story, then sub-branches (Marketing, Voice, Mission, Collateral, Logo, Website, etc.) connected by right-angle arrow connectors on a textured paper background","Bold black condensed sans title, colored bold sans labels inside each box, uniform box styling throughout","Textured light gray #EEEEEE, blue #2E5FA3, red #C0392B, green #6AA84F, purple #8E44AD, gold #B8860B, cyan #17A2B8","brand strategy diagrams, process/mindmap one-pagers embedded in a report","Build as a Drawing with roundRect boxes (reportlab.graphics.shapes.Rect, rx/ry rounding) each with a distinct strokeColor, connected by orthogonal Line/PolyLine segments; automate placement via a layout list of (x,y,w,h,color,label,parent) looped programmatically.",dc74ff3d09b3b48a1b1368214bfe7bec.jpg
54,Streetwear Bubble Tea Poster,One-Pager,"product poster, bubble tea, Y2K streetwear, bold typography, promo flyer","Single-page vertical poster grid (4 flavor variants): oversized bubble-outline headline type wraps behind a cutout product photo, scattered sticker doodles (bolts, stars), and a repeated flavor-name texture in the background.","Extra-bold rounded bubble-outline display type for product name ~80-120pt, bold sans tagline strip at bottom, repeated all-caps 'MILK SHAKE' stack as texture.","#1B3FBF royal blue base, #F2C230 yellow, #E8177D magenta, #FFFFFF cutout background, flavor-specific accent (brown/pink/tan/green)","food and beverage promo posters, social/print flyers for a product launch",Single canvas composition rather than flowable-driven: simulate outlined bold text by drawing it twice offset (white halo then color fill); place a transparent product-cutout PNG as an Image flowable over a full-bleed colored rect; scatter doodle icons at fixed x/y coordinates.,416f375c43ee54d42bfc13c03ccea128.jpg
55,Teal Acronym Marketing One-Pager,One-Pager,"digital marketing flyer, acronym layout, teal highlight, agency one-pager, service capability","Single vertical one-pager: logo top-left, centered bold headline, centered vertical acronym word list (DIGITAL) with each key letter in a teal highlight square, tagline pair separated by a vertical rule, footer contact bar with icons and teal rule","Bold teal display headline, medium sans acronym words with colored letter-tiles, thin sans tagline, small sans footer contact info","Teal #1B7A6E, near-black text #1A1A1A, light gray background #EDEDED, white #FFFFFF","digital marketing agency one-pagers, service capability flyers",Acronym rows as a Table (one row per word) with the highlighted letter as a separate small Table cell with teal BACKGROUND; footer contact bar via 3-col Table with icon+text and an HRFlowable teal rule above it.,cca2b59e2042b91412fc6aa76629ec52.jpg
56,70s Retro Lettering Badge Pack,Other,"retro lettering, logo badges, 70s groovy, sunburst background, clip art pack",Grid of standalone lettering/logo lockups (not a page layout) — each cell a wordmark on a sunburst or solid color card,"Assorted bold retro display faces: bubble script, chunky block caps, striped condensed caps","Olive green #5A6B2E, mustard #D9A441, teal #2E8B84, coral #E9603D, cream #F2EEDD","decorative title treatments, badge/sticker assets, not a page structure",Register custom retro display TTFs and reuse individual wordmarks as cover accents via canvas.drawString; not a Platypus layout to replicate wholesale.,33c34ac4b06d033f69fbe560e83a20d7.jpg
57,Bleed-to-Edge Type Foundry Specimen,Other,"type specimen, oversized wordmark, font foundry poster, bleed typography, metadata footer","Full-bleed color block with a single ultra-bold condensed word bleeding off the left and right edges, and a thin footer row of pipe-separated metadata labels (foundry, weight, set, year); a branding poster, not a document template.",Extra-black condensed display sans at huge scale; tiny tracked sans footer labels (9-10pt).,"#F5401D bright red-orange bg, #F4F1EA off-white type",Type foundry marketing posters and font specimen sheets — not a reusable content layout.,"Full-bleed canvas.setFillColor rect, then canvas.drawString with a registered black-condensed TTF at very large point size (letters exceed page bounds intentionally); footer built via four fixed-x drawString calls separated by short vertical-bar glyphs.",d268d694bbc95f396e86136ae65c9426.jpg
58,BrandDrive Shadow Ad,Other,"social ad creative, conceptual photography, brand tagline, minimal white background","Not a print/PDF document template: a single social-ad image with logo top-right, centered headline, a hero photo (cat casting a lion shadow) mid-frame, bold CTA copy below it, and a centered handle footer.","Light rounded sans body copy ~22pt with a bold mid-sentence emphasis phrase, small tracked-caps handle footer ~12pt.","#F5F5F3 near-white background, #2B2B2B charcoal text, #C97B3A ginger-cat orange, #8A8A8A shadow gray","N/A as a print template — Instagram/LinkedIn ad creative for a marketing agency; only reusable as an ad layout pattern, not a document.","If rebuilt as a single-page PDF: drawImage the hero photo full-width, drawCentredString for headline/CTA mixing Helvetica and Helvetica-Bold runs, drawImage for the logo top-right, small drawCentredString for the footer handle.",d9b8f8ada936090ab61c61a172662331.jpg
59,Chrome 0% Finance Icon Render,Other,"3D render, chrome, finance icon, 0% APR, blue gradient, stock graphic",Not a document layout — single 3D rendered icon (chrome '0%' numeral on a pedestal with stacked coins) on a dark-to-bright blue gradient background,None (no text elements),"Deep navy #0A1A3A, royal blue #1E5FD9, chrome highlight #E8F0FF","hero icon insert for finance/promo covers, not a reproducible page",Use only as a placed Image asset in a cover Frame; no shape reproduction needed.,2668f1cc3f9d401310012d14cbb84d3c.jpg
60,Cybersecurity Shield Glow Render,Other,"cybersecurity, shield icon, glowing padlock, circuit network, dark blue tech",Not a document layout — a 3D/glow stock illustration of a padlock shield over a radiating circuit network on a dark blue background,None,"Deep navy #0A1628, electric blue glow #2FA8E8, cyan highlights #7FE0FF","cover hero graphic for security/IT whitepapers, not a reproducible layout",Place as a full-bleed or inset cover Image only; no shape structure to replicate.,a1c3f1290cfa7b2e5891cfa411bf5fa5.jpg
61,Denim Scrapbook Journal Frame,Other,"scrapbook frame, denim, gingham, journal border, decorative collage","Decorative photo-frame/border collage: denim star patch, gingham check, ribbon bow, starfish and stacked-books stickers surrounding a blank grid-paper center panel",None (decorative asset only),"Denim blue #3A5A7A, powder blue gingham #A9C3D9, cream paper #F2EFE3, navy accents #1F3350","themed journal/planner page border, not a structured document template",Use as a fixed background Image with a transparent center window sized to the content Frame; place body text/Paragraphs inside the blank grid area.,74e3064f07918726b3cf37ba6a18b96b.jpg
62,Dharmas Studio Groovy Font Bundle Board,Other,"font bundle marketing, Instagram mosaic grid, retro script, badge emblem, product mockups","Instagram-grid mosaic of ~15 square tiles mixing giant script/display wordmarks, a circular emblem badge, a sunburst-frame oval logo, product mockup photos, and pattern tiles; a font-bundle promo sheet, not a document layout.","Multiple display specimen faces (retro-groovy script, chunky serif slab, rounded bold serif); tiny tracked sans captions.","#0E2B24 teal-black, #E8A63A mustard/orange, #F3E9D2 cream, #4FA8A0 turquoise",Font-bundle marketplace listing images (Creative Market/Etsy) — not a reusable print template.,"Not a natural single-document target; if replicated, place each tile as an Image flowable in a borderless 3-col Table with 4pt spacing to mimic the grid, registering each display TTF for any live-drawn wordmark tiles.",854c13621f86efc95201ecd24cf51ee3.jpg
63,Executive Edge House-Chart Logo,Other,"logo mark, house icon, bar chart icon, corporate branding, transparent PNG","Standalone logo lockup on transparent checkerboard: roofline + house outline containing a bar-chart glyph, wordmark below","Bold sans wordmark with color-accented second word, small tracked sans tagline","Charcoal navy #1F2A3A, steel blue #2E5C8A, gold bar accent #D9A441","logo asset placeholder only, not a page template",Place as a fixed-size Image in header/footer Frames of a corporate report; not a layout to reproduce.,63ec24d840fc21ae8cba0306faee2a0f.jpg
64,Groovy Script Alphabet Specimen,Other,"retro font, 70s script, type specimen, pink teal gradient, display alphabet","Not a page template — a font specimen card: script wordmark logo top, full alphabet + numeral set below on a pink-to-teal gradient background","Thick retro script display face for the alphabet showcase, condensed for glyph set","Hot pink #E8398A, dusty rose #E9A6C0, teal-green gradient #3FA79E to lavender #C9A9D6","decorative title treatments only, not a layout to reproduce","If reused, register the script TTF and set as a display ParagraphStyle for cover titles only; not a Platypus page structure.",15db113dc835211abb634ee8def3f85a.jpg
65,Ink-Splatter Process Flowchart,Other,"process flowchart, design service workflow diagram, ink splash banner, oval node diagram, not a page-based document",Vertical flowchart with rounded-oval and rectangular milestone nodes connected by arrows; black ink-splash banners used as CTA/download headers.,"Bold uppercase sans node labels, thin connector lines, italic script text on splash banners.","Peach #F0C4A8, Sage Blue-Gray #A8B5B8, Black #1A1A1A, White #FFFFFF",Not a page-layout template — a standalone process/workflow diagram graphic,If reproduced: reportlab.graphics.shapes Oval/Rect nodes with Line connectors in a manual Drawing; outside the standard Platypus flowable pipeline.,dbf70a00ecd4e8ad4288722f14d13789.jpg
66,Lost Days Retro Font Product Carousel,Other,"font specimen, Instagram carousel, mockup mug, seamless pattern, retro display type","Three stacked square social panels: bold two-word display title panel, a lifestyle mug-mockup photo panel, and a seamless scalloped-badge pattern swatch panel; not a document page template.","Chunky rounded retro display face for the headline word pair, thin tracked small-caps subhead.","#EC5E96 hot pink bg, #F5F3B0 pale yellow display type, #2B2B2B charcoal mockup text","Font/product marketing carousels (Etsy, Creative Market) — not intended as a reusable document layout.","This is a product-marketing mockup sheet, not a print template — flag as non-template; if ever reproduced, each band would just be a full-bleed colored Rect plus an Image flowable, no Platypus structure needed.",4a79b1a52290336229ecc84307e5e786.jpg
67,Maroon Glow Instagram Highlight Icons,Other,"Instagram highlight covers, social media icon set, maroon wine palette, circular icon grid, not a print template","2-column grid of 8 circular icons, glow effect around each, mix of photo-filled and solid-color script-label circles.",Elegant script/serif labels centered within each circle.,"Deep Maroon/Wine #4A1420, Black #0D0505, White text, Rose Gold accent",Not applicable to print/PDF documents — social-media highlight icon set only,"Not part of the report pipeline; if ever needed, circular Image masks via PIL clip + Drawing, arranged in a 2-column Table.",e105f24fb9323115bd5a89e4fc5bb7c1.jpg
68,N/A,Other,"portrait photograph, stock/AI headshot, no layout or text","Not a design template — a close-up portrait photograph of a woman with no grid, typography, or print layout elements; likely a raw stock/cover-image asset rather than a catalog entry.",N/A,N/A,N/A — flag for exclusion from the template catalog or reuse only as a photo asset within another template,"N/A — if reused, treat only as an Image flowable inside another template's masthead or cover frame, not as a standalone layout.",0cbd98bd1d238b0bdae1a9c11c483148.jpg
69,N/A,Other,"font specimen sheet, vintage retro display typeface, layered drop-shadow lettering, textured paper background","Not a document layout — a type-foundry marketing sheet showing a wordmark, two quote callouts, and a full glyph set on a crumpled-paper texture; useful only as decorative-type reference, not a reproducible page grid.","The image IS the typography sample: a retro layered script/slab display face with a rainbow drop-shadow offset, glyph set shown at ~40-90pt.","#E7E4DD cream paper texture (background), #2B3A5C navy (outline/main letterform), #E97D5A coral (shadow layer), #4E8C82 teal (shadow layer)",N/A as a page template — reference only for cover/pull-quote lettering treatments,"N/A — not a layout to reproduce; the offset-shadow effect could inform a decorative cover title (loop of canvas.drawString calls at incremental x/y offsets with different fill colors behind a Helvetica Neue Black headline), but the source is a font specimen, not a document.",11cc74be446e2a883bb865aaefce1ab4.jpg
70,N/A,Other,"tarot deck packaging, product photography, guidebook spread mockup","Not a page/document layout — this is product photography of a boxed tarot card set (box, fanned cards, and an open spiral guidebook spread) shot at an angle, so there is no reproducible print grid to extract.","N/A — only illustrated card labels visible, not a document type system.","#2B3A55 navy (box), #E8896B coral (card art), #7C9473 sage (card art), #F3E9DD cream (guidebook page)",N/A — not usable as a ReportLab document template,"N/A — this is a physical-product mockup photo, not a document to reproduce in ReportLab.",844b21fdafcc2a8281c00143e27abe80.jpg
71,N/A,Other,"isometric illustration, cybersecurity fingerprint 2FA, tech marketing hero graphic",Not a document layout — a single dark-blue gradient stock illustration of a 3D isometric fingerprint scanner with a semi-transparent glass info card (headline + body text) in the lower-left corner.,"Bold sans headline 24pt white, uppercase pill badge label 8pt, light blue-gray body sans 9pt.","#0A2A5E to #145DA0 deep blue gradient (background), #2FD4E8 cyan (glow accent), #FFFFFF white (text)","N/A as a full page template — usable only as a hero/banner graphic within a security-themed cover or slide, not a layout to reproduce","N/A for full-page reproduction — if reused as a cover accent, the glass card could be approximated with a semi-transparent Rect (fillAlpha) holding a pill-badge Paragraph plus a Helvetica Neue Bold headline, but the source itself is a stock illustration, not a document template.",e7c9c33db4db6ecb1ca4884de50efcef.jpg
72,N/A - Groovy Plant Sticker Art,Other,"retro typography, plant illustration, sticker/badge design, not a page template","Circular bubble-letter wordmark wrapped around a potted-plant illustration, shown in two colorways as a badge/sticker asset rather than a document layout.","Custom groovy bubble display lettering curved into a circular badge shape, no body text hierarchy.","#F0EAD8 cream, #7C7A2E olive green, #A8A83E lime, #B4665A terracotta pot","N/A as a page template - decorative badge/sticker asset for packaging, merch, or a themed cover accent",Not a reproducible ReportLab layout; embed as a single vector/PNG Image flowable rather than reconstructing the curved bubble letterforms natively.,9ef83721d59fa106cab290e79bfba0fe.jpg
73,N/A - Retro Sticker Art,Other,"retro typography, bubble letters, quote sticker graphic, not a document template","Single square graphic: chunky 3D bubble-letter quote centered on a solid pink field with checkerboard side bars, stars, and daisy doodles; a standalone illustration, not a page layout.","Custom hand-drawn bubble display lettering with layered drop-shadow/outline, no text hierarchy.","#F5A0B5 pink background, #F2E9D8 cream letters, #7B4FA0 purple checkerboard, #E8B23A yellow accents",N/A as a page template - usable only as a decorative sticker/quote asset for a themed cover or social tile,"Not a reproducible multi-element layout; if reused, embed as a single PNG/vector Image flowable rather than rebuilding bubble letterforms with native ReportLab shapes.",1c93e9b06839c2c541fd196320b5c188.jpg
74,N/A - Social Screenshot,Other,"tutorial photo, social media caption, not a document template","Photograph of a MacBook displaying a PowerPoint slide, overlaid with an Instagram-style caption bubble; no reusable print/PDF grid to extract.",Overlay uses a bold rounded sans caption bubble; on-screen content uses a generic bold sans headline.,"#1A1A1A keyboard/laptop, #F4A24C sunset photo backdrop, #FFFFFF caption card","N/A - not a reproducible layout, it is a lifestyle/tutorial photo used as social content, not a template",Not applicable; nothing in this image is a page layout pattern to rebuild in ReportLab.,5f9112b0a7d8febb74c19d3ed4ae6731.jpg
